City,WeWork Location Name,Address
Atlanta,Tower Place,"3365 Piedmont Rd NE, Atlanta, GA"
Austin,Congress,"600 Congress Ave, Austin, TX"
Austin,University Park,"3300 N Interstate 35, Austin, TX"
Berkeley,Berkeley,"2120 University Ave, Berkeley, CA"
Boston,Fort Point,"51 Melcher Street, Boston, MA"
Boston,South Station,"745 Atlantic Ave, Boston, MA"
Chicago,Fulton Market,"220 N. Green St, Chicago, IL"
Chicago,Grant Park,"332 S Michigan Ave, Chicago, IL"
Chicago,River North,"111 West Illinois St, Chicago, IL"
Denver,Lohi,"2420 17th Street, Denver, CO"
Denver,Union Station,"1550 Wewatta St, Denver, CO"
Los Angeles,Fine Arts Building,"811 W 7th St, Los Angeles, CA"
Los Angeles,Gas Tower,"555 West 5th Street, Los Angeles, CA"
Los Angeles,Hollywood,"7083 Hollywood Boulevard, Los Angeles, CA"
Los Angeles,Promenade,"312 Arizona Ave, Santa Monica, CA"
Los Angeles,Santa Monica,"520 Broadway, Santa Monica, CA"
Miami,Lincoln Railroad,"350 Lincoln Road, Miami Beach, FL"
New York City,42nd Street,"205 E 42nd St, New York, NY"
New York City,5th Ave,"404 5th Ave, New York, NY"
New York City,Bryant Park,"54 W. 40th Street, New York, NY"
New York City,Charging Bull,"25 Broadway, 9th Floor, New York, NY"
New York City,Chelsea,"115 W 18th St, New York, NY"
New York City,Dumbo Heights,"81 Prospect St, Brooklyn, NY"
New York City,Empire State,"349 5th Avenue, New York, NY"
New York City,Fidi,"85 Broad St, New York, NY"
New York City,Fulton Center,"222 Broadway, 19th Floor, New York, NY"
New York City,Gramercy,"120 E 23rd St, New York, NY"
New York City,John St.,"11 John St, New York, NY"
New York City,Madison,"261 Madison Avenue, New York, NY"
New York City,Meatpacking,"1 Little West 12th Street, New York, NY"
New York City,Nomad,"79 Madison Ave, New York, NY"
New York City,Park South,"401 Park Avenue South, 10th Floor, New York, NY"
New York City,Penn Station,"315 W 36th Street, New York, NY"
New York City,Soho,"154 Grand Street, New York, NY"
New York City,Soho West,"175 Varick Street, New York, NY"
New York City,Studio Square,"3537 36th Street, Astoria , NY"
New York City,Times Square,"1460 Broadway, New York, NY"
New York City,Wall Street,"110 Wall St, New York, NY"
New York City,West Broadway,"379 West Broadway, 2nd Floor, New York, NY"
New York City,Williamsburg,"240 Bedford Ave, Brooklyn, NY"
Philadelphia,Northern Liberties,"1010 N Hancock St , Philadelphia, PA"
Portland,Custom House,"220 NW 8th Ave, Portland, OR"
San Francisco,Civic Center,"1161 Mission St, San Francisco, CA"
San Francisco,Golden Gate,"25 Taylor Street, San Francisco, CA"
San Francisco,Mid-Market,"995 Market St, San Francisco, CA"
San Francisco,Soma,"156 2nd Street, San Francisco, CA"
San Francisco,Transbay,"535 Mission St, 14th floor, San Francisco, CA"
Seatlle,Holyoke Building,"107 Spring St, Seattle, WA"
Seatlle,South Lake Union,"500 Yale Avenue North, Seattle, WA"
Seatlle,Westlake Tower,"1601 5th Ave, Seattle, WA"
"Washington, DC",Chinatown,"718 7th Street NW, Washington, DC"
"Washington, DC",Crystal City,"2221 South Clark St, Arlington , VA"
"Washington, DC",Dupont Circle,"1875 Connecticut Ave NW, 10th Floor, Washington, DC"
"Washington, DC",Wonder Bread Factory,"641 S Street NW, Washington, DC"
Be'er Sheva,Be'er Sheva,"Gev Yam Negev Park, Be'er Sheva,"
Herzliya,Herzliya,"1 Shankar St, Herzliya,"
Tel Aviv,Dubnov,"7 Dubnov, Tel Aviv"
Tel Aviv,Sarona,"Aluf Kalman Magen 3, Tel Aviv"
Amsterdam,Metropool,"Weesperstraat 61-105, Amsterdam"
Amsterdam,Weteringschans,"Weteringschans 165 C, Amsterdam,"
London,Aldgate Tower,"Aldgate Tower, 2 Leman Street, London,"
London,Chancery Lane,"14 Gray's Inn Road, London,"
London,Devonshire Square,"9 Devonshire Square, London,"
London,Moorgate,"1 Fore Street, London,"
London,Soho London,"2 Sheraton St, London,"
London,South Bank,"22 Upper Ground, London,"
London,Spitalfields,"1 Primrose Street, London,"